chamber,State ,Name ,Twitter Handle 
House,WI-03 ,Ron Kind ,@RepRonKind 
House,WI-04 ,Gwen Moore ,@RepGwenMoore 
House,WI-05 ,"F. James Sensenbrenner, Jr. ",@JimPressOffice 
House,WI-06 ,Glenn Grothman ,@RepGrothman 
House,WI-07 ,Sean P. Duffy ,@RepSeanDuffy 
House,WI-08 ,Mike Gallagher ,@RepGallagher 
House,WV-01 ,David B. McKinley ,@RepMcKinley 
House,WV-02 ,Alexander X. Mooney ,@RepAlexMooney 
House,WV-03 ,Carol Miller ,@RepCarolMiller 
House,WY - At Large ,Liz Cheney ,@RepLizCheney 
